,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
2088,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
3312,F,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17
1962,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10
880,M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
1621,M,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10
1684,I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
3670,M,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,8
1596,I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
3208,I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9
2240,M,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12
368,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12
763,M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14
3854,F,0.485,0.4,0.155,0.731,0.236,0.183,0.255,11
1696,M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11
3768,M,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,9
2811,M,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,9
1758,M,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11
1953,M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9
3485,I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
40,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
3067,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11
1135,I,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8
2703,M,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,11
4045,M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
2917,M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10
2887,I,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,9
230,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
2457,I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5
3245,F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
2303,F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11
3567,I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10
3814,I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
3954,M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,7
123,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
200,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
1297,I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,9
359,F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16
1387,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
3370,M,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12
3723,I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
4051,M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10
4133,M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11
453,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11
2576,I,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,7
4036,I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8
3986,F,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,10
1065,I,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6
1475,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
2656,M,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7
1073,I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7
3470,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
1916,M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
2661,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
1685,I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
3113,I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
560,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
210,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
98,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
3352,F,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
1457,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
3240,M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
544,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10
2621,M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
3291,M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9
787,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
3276,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
3978,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
3624,F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
906,I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
2688,M,0.63,0.465,0.15,1.027,0.537,0.188,0.176,8
1330,F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,9
1964,F,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10
3966,I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
3865,M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
945,M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
1377,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
443,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10
2517,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
3943,M,0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14
2575,M,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7
778,M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
2104,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
2474,M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14
1495,F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8
3836,M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
1179,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11
1873,I,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
1554,I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
695,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
2916,M,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
2743,I,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
3108,I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7
2995,M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9
1703,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
1802,F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
3378,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
3357,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
2497,M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12
3307,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
3486,F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8
3949,F,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
2673,M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
941,I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
2948,F,0.635,0.5,0.19,1.29,0.593,0.3045,0.352,8
955,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
2293,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
1099,I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
2015,I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
4085,M,0.585,0.51,0.16,1.218,0.639,0.241,0.3,11
2124,M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7
3674,F,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,12
757,F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15
3847,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
1391,F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9
608,M,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10
3569,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
3092,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
1680,M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
1563,I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10
2073,F,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
1707,M,0.645,0.5,0.175,1.286,0.5645,0.288,0.386,12
1422,M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
1808,F,0.635,0.475,0.15,1.1845,0.533,0.307,0.291,10
1125,M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10
4110,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
2403,M,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,10
1607,I,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
1488,M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
2515,F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
62,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
4174,M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
1006,M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
2918,I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
3235,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
3163,F,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9
2699,M,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,11
1038,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
136,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
1850,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
219,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
2960,F,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
1896,M,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9
2751,F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9
2155,M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16
1999,I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
3296,F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33,14
94,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
3025,I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
1586,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
748,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
3843,M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
494,M,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17
1225,I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
929,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
1675,F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
3045,F,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10
555,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10
393,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
1,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
1642,M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
3930,F,0.67,0.535,0.185,1.597,0.6275,0.35,0.47,21
2728,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
2249,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
3712,F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10
709,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7
2888,I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8
902,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
2625,M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,10
2053,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
1723,F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
3534,I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
2115,I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
331,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
1950,F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
306,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
1299,I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,9
749,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
845,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
2633,I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
645,I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
3027,I,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8
2560,I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
1863,I,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9
1546,I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7
857,M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
1453,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
1380,M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
1447,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
1772,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
662,F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
2614,M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,9
1906,I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11
881,M,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
111,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
2416,M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18
1587,I,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,8
1604,M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
1697,M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
3254,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
2435,F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
1860,I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
3071,F,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,11
3587,M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10
2318,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
2894,I,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,11
99,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
1636,M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
3059,F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
3643,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
1991,I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
1395,M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
3950,F,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13
3687,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
2940,M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
2179,F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14
3339,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
986,F,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
1624,M,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,9
1438,I,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7
3678,F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
2225,M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13
700,M,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12
3480,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
3278,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12
1412,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
3918,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18
2710,M,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,11
1943,F,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11
1213,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
3202,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
1173,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
745,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
3039,M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10
1386,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
2236,F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15
4154,I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
2662,F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
705,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
2990,F,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9
1683,F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
13,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
1610,I,0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
3713,M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
1608,I,0.545,0.4,0.13,0.686,0.3285,0.1455,0.18,9
761,F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
2273,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13
804,M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10
2623,F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
102,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
2375,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10
1909,F,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9
2354,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
2709,F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12
1885,I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
3556,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9
1648,M,0.59,0.49,0.165,1.207,0.559,0.235,0.309,10
3525,I,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
4024,I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6
829,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
895,I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
2867,I,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6
2504,I,0.31,0.24,0.105,0.2885,0.118,0.065,0.083,6
2672,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
3479,I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
3855,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
1028,M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11
2902,I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9
2878,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
366,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
1832,I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8
2607,F,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9
2446,F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14
3052,F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,9
3396,M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
2009,I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8
2734,I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
4016,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9
3792,F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13
1922,M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8
3944,M,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20
1561,I,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
3845,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
2989,M,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,9
1452,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
1506,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9
1185,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9
3365,I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11
518,M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
181,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
1760,F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
1819,M,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
3490,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
784,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
577,F,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10
161,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
3825,M,0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
2604,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
613,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
1960,F,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10
2010,I,0.435,0.325,0.12,0.346,0.159,0.084,0.095,7
3383,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14
3120,F,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9
2296,F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
2361,M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12
953,F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
486,M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11
772,M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
1301,I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
1296,M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9
2942,M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
3141,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
3961,M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
3857,M,0.655,0.515,0.2,1.373,0.443,0.3375,0.49,16
2040,I,0.32,0.255,0.085,0.1745,0.072,0.033,0.057,8
636,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
2362,F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18
587,F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
3311,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
592,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
3151,F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
574,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10
292,M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15
3888,F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12
3066,F,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,9
44,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
1419,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
3483,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
1060,I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
4046,M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
1094,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
2798,M,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
420,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14
2774,F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9
1650,I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
2456,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5
2129,M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
3135,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
2142,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
3056,M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,11
1534,I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,6
2119,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
3897,F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
517,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
2373,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
2527,M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
187,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
2987,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10
3942,F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11
1328,I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
389,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
349,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
1865,I,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7
3473,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
407,M,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16
