,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
811,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
3323,F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12
4168,F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
3385,F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
1132,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
2556,I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6
2459,F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20
3364,M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
4055,F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
1673,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
1999,I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
1243,I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8
3743,F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12
1058,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
299,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
1150,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
98,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
920,I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
4146,M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
3091,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
4077,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,9
160,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
2639,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
3984,M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
306,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
1284,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9
2035,M,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9
1315,I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9
960,M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7
3546,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
3177,F,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
1068,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
1187,M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10
2523,F,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,9
569,F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
1159,M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
1824,I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
904,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
146,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
2563,I,0.44,0.355,0.12,0.495,0.231,0.11,0.125,7
4147,M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11
2481,M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8
1836,I,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
3493,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
3518,M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11
3008,F,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
3754,I,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,8
1070,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
2564,I,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,6
4049,M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
1408,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10
4047,M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11
3223,M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
1410,F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,10
3637,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
1055,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
2645,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
2551,I,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6
1861,M,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
332,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
604,I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
643,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
248,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
2606,M,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,10
384,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10
1978,M,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,12
2944,M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7
1020,M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
719,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
4154,I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
1947,M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
305,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
1417,M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
3789,F,0.645,0.51,0.155,1.129,0.5015,0.24,0.342,10
2854,F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
3160,I,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7
2440,M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
1149,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9
2063,M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
2228,F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
2157,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
3676,F,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10
1160,F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9
1727,M,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,10
60,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
2442,M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,9
1938,M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
3745,I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
975,F,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8
4102,M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
360,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
2494,M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
452,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
364,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12
2476,M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18
1166,F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9
3800,M,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
1513,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
1896,M,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9
2246,F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
3070,F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9
4028,I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8
3907,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
515,M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6
3199,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
1975,M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11
3141,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
1277,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
1092,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
3440,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
2152,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
2410,F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
2878,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
150,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
1808,F,0.635,0.475,0.15,1.1845,0.533,0.307,0.291,10
516,M,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9
2934,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,9
2034,F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14
1207,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
199,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
4058,F,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,10
3554,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8
2156,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12
1645,M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10
535,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11
242,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
2241,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11
940,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
439,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13
491,M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13
553,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13
3074,M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11
356,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
2675,M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
1693,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9
2570,I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
3478,I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
1048,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
1622,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,9
3547,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
392,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
1038,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
2066,F,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10
877,F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10
788,F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
2269,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12
993,M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
3057,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
3673,F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
247,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
3030,I,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,11
1920,F,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9
159,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
1876,I,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
1772,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
1016,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8
3321,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
1915,F,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11
2289,F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10
477,M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17
3313,M,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11
2324,F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17
1503,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
748,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
925,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
792,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
4039,I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,11
2201,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
1464,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
827,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
1249,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5
2984,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
3716,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
3507,F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11
1033,M,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10
1801,M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
62,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
1411,F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
1012,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
3045,F,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10
2165,F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9
2161,F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17
1432,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
3007,M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,14
1212,I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
831,I,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6
726,M,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10
2620,F,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
2529,F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8
654,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
2704,M,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,10
3615,M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
3566,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
1549,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7
3054,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
3889,M,0.62,0.5,0.2,1.221,0.4605,0.263,0.43,12
3341,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
113,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
2579,M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
3550,M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,8
564,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
2141,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
1006,M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
2236,F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15
1000,F,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11
1900,M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
3967,I,0.315,0.23,0.07,0.164,0.0625,0.04,0.045,6
947,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
2083,M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11
1130,M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9
382,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
2325,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
4108,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
3407,I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6
2721,I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8
3689,F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
793,M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
3429,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
780,M,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
1749,M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11
178,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
216,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
370,F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16
3432,I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
722,M,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15
1458,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7
1754,M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
1216,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
2869,I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5
1350,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
1790,F,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10
286,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
3142,I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
634,M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
117,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
2226,I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7
3798,F,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,10
2533,M,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10
125,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
157,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
1106,I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9
3122,M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8
2672,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
1972,M,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,12
1441,I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
2601,F,0.615,0.5,0.165,1.327,0.6,0.3015,0.355,10
1888,F,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
927,I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
3251,I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
2858,M,0.695,0.54,0.195,1.691,0.768,0.363,0.4755,11
4059,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
3281,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
2761,I,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
902,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
3729,M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
4130,M,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,10
110,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
708,M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
1979,M,0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13
2069,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
3392,M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19
430,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
2396,I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14
2816,I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
1729,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
1488,M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
3618,M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11
3647,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
2116,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
701,F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
2122,F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
365,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
3043,M,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10
1321,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9
1778,F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
1854,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
2963,F,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12
1179,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11
3317,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
2841,M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,9
2971,M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11
231,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
220,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
2828,M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
2031,F,0.6,0.45,0.14,0.837,0.37,0.177,0.2425,10
3527,I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
2486,F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
986,F,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
2199,F,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21
1171,M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8
3938,F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10
560,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
4044,F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10
2279,M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10
3924,F,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20
1469,M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
153,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
2771,F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9
1514,F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11
3836,M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
1516,M,0.66,0.505,0.165,1.374,0.589,0.351,0.345,10
3904,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
2441,M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10
4135,F,0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11
3524,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6
3987,F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
871,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
3592,M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11
3712,F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10
1184,I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9
2177,F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14
1545,I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
758,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
1977,F,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13
2837,F,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,8
699,F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16
3092,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
619,M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
3491,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
3861,F,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14
3750,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
622,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
3339,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
1475,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
2585,F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
2326,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
549,I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11
376,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
2133,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
1759,F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
3175,I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,11
4112,F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
2387,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
3939,M,0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,14
2776,M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
3578,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
769,F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
1864,I,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,9
938,I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
2453,I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
670,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
2941,F,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,10
1347,I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9
2900,F,0.55,0.435,0.14,0.745,0.347,0.174,0.2265,9
2392,M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10
300,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
